date,HF_Rates,HF_Credit,HF_FX,HF_Liquidity,HF_Growth,HF_Inflation,Raw_Growth,Raw_Inflation,Raw_Liquidity,Raw_Credit,Raw_Rates,Raw_FX
2018-01-01,,,,0.0,0.0,0.0,,,,,,
2018-01-02,,,,0.0,0.0,0.0026312243797030786,,,,,,
2018-01-03,0.0011303865375877908,-9.948096465961509e-05,0.004193351631595066,0.009473771791346994,0.0008972438669190908,-0.004677886047912295,,,,,,
2018-01-04,0.0025944449424748495,-0.0005513617723826858,0.000679137503152738,0.011345784890841678,0.003683838846899147,0.0028404387665113794,,,,,,
2018-01-05,0.0021673949382043922,-0.00011600761676300309,0.0020288267480885747,0.01010154445891392,0.006434145628586552,0.002884944595138154,,,,,,
2018-01-06,0.0021673949382043922,-0.00011600761676300309,0.0020288267480885747,0.01010154445891392,0.006434145628586552,-0.0005307135527639331,,,,,,
2018-01-07,0.0021673949382043922,-0.00011600761676300309,0.0020288267480885747,0.01010154445891392,0.006434145628586552,0.00045504637448055287,,,,,,
2018-01-08,0.0020831159287126866,0.00034286056277355037,0.0055506807215877085,0.011767484070897857,0.008350906181906675,0.004756141682257182,,,,,,
2018-01-09,0.0009416146411036497,0.0010651403524806202,0.008226128344555494,0.007962595427903996,0.01607982542767602,0.00475590423599902,,,,,,
2018-01-10,0.0014379240233187707,0.0005957254516589794,0.005503805295553721,-0.005580371890694364,0.016846159315813687,0.010894448722288997,,,,,,
2018-01-11,0.0037325806888698354,0.000633750261319288,0.0004125968376482714,-0.0014416818809440055,0.0196219992582988,0.009550949434429336,,,,,,
2018-01-12,0.0046643938877296565,0.0008771012889535745,-0.010017906396025511,-0.013020356541320268,0.019814267883857765,0.007353827325730989,,,,,,
2018-01-13,0.0046643938877296565,0.0008771012889535745,-0.010017906396025511,-0.013020356541320268,0.019814267883857765,0.004912909163819093,,,,,,
2018-01-14,0.0046643938877296565,0.0008771012889535745,-0.010017906396025511,-0.013020356541320268,0.019814267883857765,0.0040934134469519864,,,,,,
2018-01-15,0.006203868293830572,0.00035223868072919995,-0.014870032089186358,-0.05455238004742098,0.020487360781474437,0.012647537866817913,,,,,,
2018-01-16,0.005689552624895899,0.00028224965189072027,-0.015456010618048577,-0.051154906094385756,0.026360065537589888,0.01207589223967873,,,,,,
2018-01-17,0.005633534215709002,0.0001592525894696939,-0.009802980549681317,-0.056190451758478206,0.02148625667649017,0.008992602544943332,,,,,,
2018-01-18,0.006931770503500134,2.635250229721109e-05,-0.013994169153168423,-0.06018025005856186,0.022333789421196664,0.013466634209432764,,,,,,
2018-01-19,0.007250702762288341,-5.925285586050322e-05,-0.012580179492967858,-0.06682805895313701,0.022685841704396574,0.022283879792245186,,,,,,
2018-01-20,0.007250702762288341,-5.925285586050322e-05,-0.012580179492967858,-0.06682805895313701,0.022685841704396574,0.017753400012934004,,,,,,
2018-01-21,0.007250702762288341,-5.925285586050322e-05,-0.012580179492967858,-0.06682805895313701,0.022685841704396574,0.021360912219071604,,,,,,
2018-01-22,0.005995468954364425,0.00027047738767027596,-0.015349009744920483,-0.05773834714861344,0.025498239980690892,0.018074870213499503,,,,,,
2018-01-23,0.005610910619611831,0.00047598238040014174,-0.019784801384393425,-0.06961712755339958,0.027982387952800766,0.017039046790651817,,,,,,
2018-01-24,0.005836065344840713,0.0006573676309249432,-0.027495912495504538,-0.060017205311161066,0.026536685833642867,0.02012682941949904,,,,,,
2018-01-25,0.006547934220351603,0.00044584410893477866,-0.026544128740773498,-0.0563568266324054,0.02818280332349472,0.029751135712348952,,,,,,
2018-01-26,0.005654166191082721,0.0009614295467277323,-0.030403577678586036,-0.06115159538519147,0.031813607924679604,0.028856758317373665,,,,,,
2018-01-27,0.005654166191082721,0.0009614295467277323,-0.030403577678586036,-0.06115159538519147,0.031813607924679604,0.025942926722006966,,,,,,
2018-01-28,0.005654166191082721,0.0009614295467277323,-0.030403577678586036,-0.06115159538519147,0.031813607924679604,0.025942926722006966,,,,,,
2018-01-29,0.005492706685017001,0.00048374293838149285,-0.026989611863164953,-0.07015047360697854,0.02988320776563604,0.026045544314138934,,,,,,
2018-01-30,0.005371906150859029,0.000719752161480347,-0.029283959932554948,-0.061812187326019154,0.022744616972864003,0.017864893850894188,,,,,,
