date,security_id,close
2020-12-31,40553563,1000.000000
2021-01-04,40553563,1013.700000
2021-01-05,40553563,1020.300000
2021-01-06,40553563,1029.300000
2021-01-07,40553563,1036.700000
2021-01-08,40553563,1038.200000
2021-01-11,40553563,1035.100000
2021-01-12,40553563,1039.500000
2021-01-13,40553563,1043.600000
2021-01-14,40553563,1035.000000
2021-01-15,40553563,1034.500000
2021-01-18,40553563,1033.800000
2021-01-19,40553563,1028.300000
2021-01-20,40553563,1022.600000
2021-01-21,40553563,1025.700000
2021-01-22,40553563,1023.200000
2021-01-25,40553563,1016.500000
2021-01-26,40553563,1011.200000
2021-01-27,40553563,1010.400000
2021-01-28,40553563,1002.900000
2021-01-29,40553563,995.900000
2021-02-01,40553563,995.100000
2021-02-02,40553563,996.900000
2021-02-03,40553563,993.300000
2021-02-04,40553563,992.800000
2021-02-05,40553563,997.700000
2021-02-08,40553563,1005.000000
2021-02-09,40553563,1017.600000
2021-02-10,40553563,1022.900000
2021-02-18,40553563,1047.400000
2021-02-19,40553563,1049.500000
2021-02-22,40553563,1059.100000
2021-02-23,40553563,1061.900000
2021-02-24,40553563,1064.200000
2021-02-25,40553563,1079.600000
2021-02-26,40553563,1071.000000
2021-03-01,40553563,1068.300000
2021-03-02,40553563,1060.100000
2021-03-03,40553563,1074.200000
2021-03-04,40553563,1064.800000
2021-03-05,40553563,1058.800000
2021-03-08,40553563,1076.900000
2021-03-09,40553563,1074.000000
2021-03-10,40553563,1060.000000
2021-03-11,40553563,1057.300000
2021-03-12,40553563,1061.700000
2021-03-15,40553563,1054.400000
2021-03-16,40553563,1054.000000
2021-03-17,40553563,1050.800000
2021-03-18,40553563,1051.500000
2021-03-19,40553563,1045.300000
2021-03-22,40553563,1046.600000
2021-03-23,40553563,1047.300000
2021-03-24,40553563,1045.000000
2021-03-25,40553563,1049.000000
2021-03-26,40553563,1044.600000
2021-03-29,40553563,1045.100000
2021-03-30,40553563,1046.200000
2021-03-31,40553563,1041.200000
2021-04-01,40553563,1040.300000
2021-04-02,40553563,1041.400000
2021-04-06,40553563,1045.000000
2021-04-07,40553563,1042.400000
2021-04-08,40553563,1036.400000
2021-04-09,40553563,1037.000000
2021-04-12,40553563,1025.800000
2021-04-13,40553563,1026.100000
2021-04-14,40553563,1027.500000
2021-04-15,40553563,1024.400000
2021-04-16,40553563,1028.500000
2021-04-19,40553563,1044.200000
2021-04-20,40553563,1046.400000
2021-04-21,40553563,1046.400000
2021-04-22,40553563,1050.300000
2021-04-23,40553563,1057.100000
2021-04-26,40553563,1060.600000
2021-04-27,40553563,1062.400000
2021-04-28,40553563,1058.500000
2021-04-29,40553563,1063.300000
2021-04-30,40553563,1058.400000
2021-05-06,40553563,1076.300000
2021-05-07,40553563,1084.700000
2021-05-10,40553563,1096.100000
2021-05-11,40553563,1097.900000
2021-05-12,40553563,1107.900000
2021-05-13,40553563,1097.800000
2021-05-14,40553563,1085.100000
2021-05-17,40553563,1084.000000
2021-05-18,40553563,1085.700000
2021-05-19,40553563,1079.800000
2021-05-20,40553563,1064.600000
2021-05-21,40553563,1053.300000
2021-05-24,40553563,1049.700000
2021-05-25,40553563,1052.400000
2021-05-26,40553563,1051.300000
2021-05-27,40553563,1051.900000
2021-05-28,40553563,1046.100000
2021-05-31,40553563,1046.100000
2021-06-01,40553563,1052.400000
2021-06-02,40553563,1053.900000
2021-06-03,40553563,1053.400000
2021-06-04,40553563,1045.600000
2021-06-07,40553563,1046.600000
2021-06-08,40553563,1045.000000
2021-06-09,40553563,1045.900000
2021-06-10,40553563,1043.600000
2021-06-11,40553563,1043.000000
2021-06-15,40553563,1038.000000
2021-06-16,40553563,1037.200000
2021-06-17,40553563,1041.700000
2021-06-18,40553563,1043.000000
2021-06-21,40553563,1042.700000
2021-06-22,40553563,1041.400000
2021-06-23,40553563,1043.100000
2021-06-24,40553563,1042.400000
2021-06-25,40553563,1047.200000
2021-06-28,40553563,1041.400000
2021-06-29,40553563,1035.200000
2021-06-30,40553563,1036.900000
2021-07-01,40553563,1032.000000
2021-07-02,40553563,1030.600000
2021-07-05,40553563,1029.700000
2021-07-06,40553563,1034.300000
2021-07-07,40553563,1025.900000
2021-07-08,40553563,1025.900000
2021-07-09,40553563,1025.800000
2021-07-12,40553563,1033.500000
2021-07-13,40553563,1036.400000
2021-07-14,40553563,1041.000000
2021-07-15,40553563,1042.500000
2021-07-16,40553563,1045.000000
2021-07-19,40553563,1051.100000
2021-07-20,40553563,1041.800000
2021-07-21,40553563,1047.500000
2021-07-22,40553563,1043.300000
2021-07-23,40553563,1045.300000
2021-07-26,40553563,1043.900000
2021-07-27,40553563,1042.800000
2021-07-28,40553563,1038.000000
2021-07-29,40553563,1042.200000
2021-07-30,40553563,1048.000000
2021-08-02,40553563,1039.500000
2021-08-03,40553563,1031.800000
2021-08-04,40553563,1033.100000
2021-08-05,40553563,1032.700000
2021-08-06,40553563,1033.100000
2021-08-09,40553563,1039.600000
2021-08-10,40553563,1044.800000
2021-08-11,40553563,1052.200000
2021-08-12,40553563,1054.600000
2021-08-13,40553563,1051.900000
2021-08-16,40553563,1052.300000
2021-08-17,40553563,1048.700000
2021-08-18,40553563,1046.500000
2021-08-19,40553563,1043.800000
2021-08-20,40553563,1039.300000
2021-08-23,40553563,1044.800000
2021-08-24,40553563,1048.800000
2021-08-25,40553563,1052.100000
2021-08-26,40553563,1050.000000
2021-08-27,40553563,1045.200000
2021-08-30,40553563,1048.300000
2021-08-31,40553563,1050.700000
2021-09-01,40553563,1049.500000
2021-09-02,40553563,1053.500000
2021-09-03,40553563,1055.600000
2021-09-06,40553563,1063.800000
2021-09-07,40553563,1076.000000
2021-09-08,40553563,1079.200000
2021-09-09,40553563,1091.100000
2021-09-10,40553563,1091.300000
2021-09-13,40553563,1092.200000
2021-09-14,40553563,1079.200000
2021-09-15,40553563,1078.400000
2021-09-16,40553563,1088.500000
2021-09-17,40553563,1083.300000
2021-09-22,40553563,1089.300000
2021-09-23,40553563,1101.500000
2021-09-24,40553563,1097.300000
2021-09-27,40553563,1094.600000
2021-09-28,40553563,1100.000000
2021-09-29,40553563,1099.300000
2021-09-30,40553563,1104.700000
2021-10-08,40553563,1117.400000
2021-10-11,40553563,1124.800000
2021-10-12,40553563,1119.600000
2021-10-13,40553563,1111.700000
2021-10-14,40553563,1107.000000
2021-10-15,40553563,1114.100000
2021-10-18,40553563,1123.300000
2021-10-19,40553563,1129.200000
2021-10-20,40553563,1113.700000
2021-10-21,40553563,1108.000000
2021-10-22,40553563,1095.000000
2021-10-25,40553563,1092.400000
2021-10-26,40553563,1092.500000
2021-10-27,40553563,1084.000000
2021-10-28,40553563,1073.400000
2021-10-29,40553563,1075.000000
2021-11-01,40553563,1071.900000
2021-11-02,40553563,1063.400000
